Task,Best Epoch,Testing Accuracy,Training Accuracy,Validation Accuracy
1,10,0.989,1.0,1.0
2,20,0.323,0.525555555556,0.46
3,10,0.274,0.694444444444,0.36
4,10,0.775,0.896666666667,0.86
5,20,0.768,0.907777777778,0.86
6,10,0.943,0.992222222222,0.96
7,20,0.824,0.885555555556,0.84
8,10,0.839,0.881111111111,0.88
9,10,0.966,0.982222222222,0.94
10,20,0.885,0.975555555556,0.96
11,10,0.906,0.932222222222,0.88
12,20,0.977,0.988888888889,0.98
13,10,0.932,0.934444444444,0.91
14,20,0.799,0.932222222222,0.87
15,20,0.602,0.696666666667,0.62
16,10,0.468,0.562222222222,0.51
17,10,0.541,0.773333333333,0.68
18,10,0.892,0.956666666667,0.95
19,10,0.096,0.207777777778,0.1
20,10,0.998,1.0,1.0
